Immoweb code,Price_1,Price_2,country,region,province,district,locality,postalCode,street,number,box,propertyName,floor,latitude,longitude,Available as of,Available date,Neighbourhood or locality,Construction year,Floor,Number of floors,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Toilets,Basement,Furnished,Terrace surface,Elevator,Accessible for disabled people,TV cable,Visio phone,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Thermic solar panels,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Street frontage width,Covered parking spaces,Basement surface,Monthly charges, 212,null,50.85,4.42,Virtual visit,Dining room,Shower rooms,Intercom,Agent's name,Bedroom 3 surface,Armored door,Property name,Laundry room,Terrace orientation,Caretaker,Common water heater,Living room,Total ground floor buildable,Terrace,Attic,Bedroom 4 surface,Office surface,Office,Secure access / alarm,E-level (overall energy performance),Heat pump,Photovoltaic solar panels,Surface of the plot,Width of the lot on the street,"Gas, water & electricity",Garden surface,Garden orientation,Conformity certification for fuel tanks,Dressing room,Professional space,Connection to sewer network,Jacuzzi,Sauna,Type of building,How many fireplaces?,Garden, 1,50.52,5.24,Air conditioning,Internet,Obligation to build,Number of annexes, 95,4.41,Professional space surface,Attic surface, 202,50.9,3.4, 131,51.35,3.28, 9a,50.84,4.46,Extra information, 8,51.23,4.4, 120,4.47, 72 \\/ 0002,51.22,3.22,Venue of the sale,Single session,Terms of visit,Starting price,Isolated,Bedroom 5 surface, 69,50.46,3.96, 37, 5,50.61,3.39,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant, 303,50.68,4.19, 15,50.8,5.34, 30,51.21,4.25, 9,50.81,4.43, 273,50.67,5.25,,50.72,4.51, 92,50.73, 2, 390 bus 001,51.04,3.71, 21, 518,50.79,4.49, 40,50.83,4.45, 22,3.12, 3 ,Sea view, 38,50.63,5.56, 24,50.93,4.37, ,50.82,50.74,3.6, 16,49.68,5.81,EPC description, 27,4.58, 11,4.35,Land is facing street,Wooded land,Plot at rear,Flat land,Current monthly revenue, 3,4.95,Maximum duration of annuity, Place Sabatier,50.41,4.38,26,50.7,5.65,4.04,Age of annuitants, 171,49.85,5.45, Chauss\\u00e9e de Lille,50.6,3.37, 10A,50.77,4.34, 21C,50.92,4.64, 277,4.39, 238, 37-39, 33,51.27,3.03, 690,108 b21,50.86,4.31
10156372,"€395,000",395000€,Belgium,null,Brussels,Brussels,Bruxelles,1050,Avenue Louise 240,null,null,null,null,50.83,4.37,After signing the deed,,,2022,3,3,As new,2,,"Living area (residential, urban or rural)",107m²square meters,30m²square meters,USA hyper equipped,,3,14m²square meters,9m²square meters,1,2,,Yes,7m²square meters,Yes,Yes,Yes,Yes,,54kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,,Yes,Yes,,,,,,"€ 395,000395000 €",,No,Avenue Louise 2401050- Bruxelles,http://www.bouygues-immobilier.be,,,1,3m²square meters,,,,,,,,1,,,9m²square meters,,Evereast,Yes,West,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154682,"€965,000",965000€,Belgium,null,Brussels,Brussels,Uccle,1180,Chauss\\u00e9e de Waterloo 1382,null,null,null,null,50.79,4.38,After signing the deed,March 31 2022 - 12:00 AM,Projets Bruxelles Est,2021,5,8,As new,3,,"Living area (residential, urban or rural)",137m²square meters,,USA hyper equipped,,3,,,1,2,,No,18m²square meters,Yes,Yes,,Yes,No,55kWh/m²kilowatt hour per square meters,B,B,50 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,Non flood zone,,"€ 965,000965000 €",,No,Chaussée de Waterloo 13821180- Uccle,,4967752,,1,,,,,,,,,2,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160243,"€230,000",230000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,6,As new,2,1,Urban,63m²square meters,38m²square meters,Hyper equipped,,1,14m²square meters,,1,1,Yes,No,10m²square meters,Yes,Yes,,Yes,No,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 230,000230000 €",€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970032,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160244,"€245,000",245000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,6,As new,2,1,Urban,63m²square meters,38m²square meters,Hyper equipped,,1,14m²square meters,,1,1,Yes,No,10m²square meters,Yes,Yes,,Yes,No,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970047,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160246,"€320,000",320000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,2022,4,6,As new,2,1,Urban,96m²square meters,27m²square meters,Hyper equipped,7m²square meters,2,15m²square meters,11m²square meters,1,1,Yes,No,16m²square meters,Yes,No,Yes,Yes,No,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 320,000320000 €",€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970052,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160242,"€390,000",390000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,6,As new,2,1,Urban,99m²square meters,34m²square meters,Hyper equipped,,2,20m²square meters,11m²square meters,1,1,Yes,No,12m²square meters,Yes,No,Yes,Yes,No,1kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 390,000390000 €",€ 11 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4970031,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157688,"€239,000",342000€,Belgium,null,Walloon Brabant,Nivelles,Genappe,1470,Grand Place 2,null,null,null,null,50.61,4.45,At delivery,December 15 2023 - 12:00 AM,Court-Saint-Etienne,,,,,,8,,,,,,,,,,,,,,,,,,,74kWh/m²kilowatt hour per square meters,A,Not specified,74 kg CO₂/m²,Not specified,,,,,,,,,Recognized flood zone,,,,No,Grand Place 21470- Genappe,http://www.soda.immo,4904475,,,,,,,,,,,,,,,,,,,,,,130m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157770,Make,249000€,Belgium,null,Flemish Brabant,Halle-Vilvoorde,Grimbergen,1850,Brusselsesteenweg 65 ,null,null,null,null,50.93,4.36,After signing the deed,,,2010,2,,Good,2,,,92m²square meters,37m²square meters,Installed,8m²square meters,2,12m²square meters,10m²square meters,1,1,Yes,No,3m²square meters,Yes,,,,,88kWh/m²kilowatt hour per square meters,A,20220726-0002645972-RES-1,Not specified,Not specified,No,Gas,,Yes,Yes,No,Yes,No,Recognized flood zone,Green area,"Make an offer starting from€ 249,000Make an offer starting from249000 €","€ 1,0171017 €",No,Brusselsesteenweg 651850- Grimbergen,http://www.berthouts.be/nl/,1817238 - VKV-2022-0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159398,"€294,500",565000€,Belgium,null,East Flanders,Aalst,Aalst,9300,Parklaan 63,null,null,null,null,50.93,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,BEN EPB nieuwbouw,Not specified,Not specified,,,,,Yes,No,No,No,Non flood zone,,,,No,Parklaan 639300- Aalst,http://www.bricksimmo.be,18015 - Residentie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157545,"€325,000",325000€,Belgium,null,West Flanders,Brugge,Knokke - Heist,8300,Albert plein 10,null,null,null,null,51.35,3.3,After signing the deed,December 15 2022 - 12:00 AM,A - ZEEBRUGGE,1967,2,3,As new,2,,Urban,60m²square meters,,Hyper equipped,,2,,,1,1,,,,Yes,No,,Yes,No,99kWh/m²kilowatt hour per square meters,A,202210010002576698.res.2,1 kg CO₂/m²,Not specified,,Gas,,Yes,Yes,,,,Non flood zone,,"€ 325,000325000 €",€ 730730 €,No,Albert plein 108300- Knokke - Heist,http://www.cambierdenil.be,4968817,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159481,"€329,000",329000€,Belgium,null,Flemish Brabant,Halle-Vilvoorde,Dworp,1653,Alsembergsesteenweg 660,null,null,null,null,50.73,4.3,After signing the deed,,,1961,1,,Good,2,,,106m²square meters,,Installed,12m²square meters,2,18m²square meters,13m²square meters,1,1,Yes,No,10m²square meters,Yes,,,,,269kWh/m²kilowatt hour per square meters,E,20211230-0000602489-01-1,Not specified,Not specified,No,Fuel oil,,Yes,,,,,,,"€ 329,000329000 €","€ 1,1151115 €",No,Alsembergsesteenweg 6601653- Dworp,http://www.multimmo.be,7807 - 3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158500,"€357,500",547500€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,Chauss\\u00e9e Bara 339,null,null,null,null,50.71,4.39,At delivery,December 1 2023 - 12:00 AM,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,,,,,15kWh/m²kilowatt hour per square meters,A+,Not specified,32 kg CO₂/m²,Not specified,,,,,,,,,Non flood zone,,,,No,Chaussée Bara 3391410- Waterloo,http://www.immodussart.be,4970192,,2,,,,,,,Link to the virtual visit,,,,,,,,,,,,,71m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158413,"€361,800",693450€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,Chauss\\u00e9e Bara 339,null,null,null,null,50.71,4.39,Immediately,December 31 2022 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,Non flood zone,,,,No,Chaussée Bara 3391410- Waterloo,http://www.immodussart.be,4970128,,1,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158588,"€365,000",365000€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,Chauss\\u00e9e Bara 339,null,null,null,null,50.71,4.39,To be defined,December 31 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,86kWh/m²kilowatt hour per square meters,B,Not specified,100 kg CO₂/m²,Not specified,,,,,,,,,,,,,No,Chaussée Bara 3391410- Waterloo,http://www.immodussart.be,4970297,,1,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
